Epoch	ValidLoss	ValidPPL
1	6.21	498.89
2	5.82	336.68
3	5.70	299.56
4	5.55	258.21
5	5.38	217.35
6	5.39	218.28
7	5.33	207.24
8	5.28	196.83
9	5.25	191.19
10	5.25	190.30
11	5.22	185.57
12	5.20	181.46
13	5.16	173.98
14	5.17	175.51
15	5.16	173.52
16	5.14	171.49
17	5.15	172.33
18	5.14	171.06
19	5.14	171.10
20	5.14	170.23
21	5.14	170.22
22	5.14	170.41
23	5.14	170.36
24	5.14	170.35
25	5.14	170.35
26	5.14	170.35
27	5.14	170.35
28	5.14	170.35
29	5.14	170.35
30	5.14	170.35
31	5.14	170.35
32	5.14	170.35
33	5.14	170.35
34	5.14	170.35
35	5.14	170.35
36	5.14	170.35
37	5.14	170.35
38	5.14	170.35
39	5.14	170.35
40	5.14	170.35
40	4.71	111.12
