Epoch	ValidLoss	ValidPPL
1	5.82	338.51
2	5.29	198.04
3	5.03	152.38
4	4.92	137.14
5	4.84	126.09
6	4.85	127.21
7	4.71	110.66
8	4.73	113.30
9	4.71	111.38
10	4.71	111.03
11	4.71	110.95
12	4.71	110.93
13	4.71	110.93
14	4.71	110.93
15	4.71	110.93
16	4.71	110.93
17	4.71	110.93
18	4.71	110.93
19	4.71	110.93
20	4.71	110.93
21	4.71	110.93
22	4.71	110.93
23	4.71	110.93
24	4.71	110.93
25	4.71	110.93
26	4.71	110.93
27	4.71	110.93
28	4.71	110.93
29	4.71	110.93
30	4.71	110.93
31	4.71	110.93
32	4.71	110.93
33	4.71	110.93
34	4.71	110.93
35	4.71	110.93
36	4.71	110.93
37	4.71	110.93
38	4.71	110.93
39	4.71	110.93
40	4.71	110.93
40	4.21	67.27
