Epoch	ValidLoss	ValidPPL
1	5.64	280.35
2	5.16	173.64
3	4.98	145.82
4	4.86	128.54
5	4.82	123.71
6	4.77	118.11
7	4.73	112.93
8	4.72	112.46
9	4.71	111.49
10	4.73	112.93
11	4.64	103.59
12	4.65	104.46
13	4.63	102.83
14	4.64	103.10
15	4.63	102.96
16	4.63	102.93
17	4.63	102.92
18	4.63	102.92
19	4.63	102.91
20	4.63	102.91
21	4.63	102.91
22	4.63	102.91
23	4.63	102.91
24	4.63	102.91
25	4.63	102.91
26	4.63	102.91
27	4.63	102.91
28	4.63	102.91
29	4.63	102.91
30	4.63	102.91
31	4.63	102.91
32	4.63	102.91
33	4.63	102.91
34	4.63	102.91
35	4.63	102.91
36	4.63	102.91
37	4.63	102.91
38	4.63	102.91
39	4.63	102.91
40	4.63	102.91
40	4.13	62.24
